Date,Open,High,Low,Close,Volume
07/02/2015,66.044,66.1299,65.7,65.89,1112
07/06/2015,65.3244,65.37,65.3244,65.37,508
07/07/2015,64.8,65.84,64.8,65.84,9158
07/08/2015,65.2272,65.2272,64.66,64.66,244980
07/09/2015,65.68,65.68,65.0415,65.0483,2318
07/10/2015,65.59,65.68,65.59,65.68,9662
07/13/2015,66.17,66.35,66.13,66.32,7782
07/14/2015,66.642,66.695,66.6181,66.6733,2031
07/15/2015,66.77,66.77,66.36,66.48,3385
07/16/2015,66.945,66.97,66.8928,66.9397,1982
07/20/2015,66.76,66.9,66.76,66.865,3396
07/21/2015,66.85,66.85,66.4279,66.4279,2672
07/22/2015,66.4068,66.53,66.4068,66.43,75521
07/23/2015,66.52,66.52,66.1001,66.1604,1338
07/24/2015,65.76,65.76,65.76,65.76,285
07/27/2015,65.12,65.12,64.74,64.83,11007
07/28/2015,65.63,65.63,65.63,65.63,276
07/29/2015,66.09,66.2999,66.09,66.24,19605
07/30/2015,66.15,66.2088,66.13,66.1501,1323
07/31/2015,66.18,66.18,65.91,65.91,336
08/03/2015,65.73,65.81,65.73,65.7701,3206
08/04/2015,65.6577,65.7699,65.418,65.49,563
08/05/2015,66.0399,66.0399,65.6238,65.64,7989
08/06/2015,65.395,65.4302,65.18,65.37,13084
08/10/2015,65.81,66.07,65.81,66.02,1409
08/11/2015,65.48,65.48,65.27,65.31,1314
08/12/2015,64.9,65.34,64.9,65.34,1426
08/13/2015,65.31,65.64,65.31,65.63,557
08/14/2015,65.52,65.6199,65.52,65.61,652
08/17/2015,65.44,65.85,65.44,65.85,2546
08/18/2015,65.82,65.885,65.74,65.77,2743
08/19/2015,65.45,65.45,65.14,65.2409,821
08/20/2015,64.3901,64.4401,63.94,63.94,3183
08/21/2015,63.09,63.16,62.1251,62.15,12022
08/24/2015,58.1,61.15,51.72,59.71,33272
08/25/2015,60.57,60.6,59.97,59.99,32876
08/26/2015,60.3,60.55,59.08,60.55,10109
08/27/2015,61.5899,62.05,61.5899,61.95,2474
08/28/2015,62.135,62.274,62.04,62.144,8028
08/31/2015,62.23,62.23,62.1,62.1,490
09/01/2015,60.99,60.99,60.04,60.06,18890
09/02/2015,60.46,60.72,60.32,60.58,22394
09/03/2015,61.96,61.96,61.16,61.4052,9210
09/04/2015,60.706,60.706,60.14,60.59,6943
09/08/2015,61.47,61.9,61.37,61.86,10099
09/09/2015,62.397,62.397,61.4599,61.4599,6992
09/10/2015,61.2799,61.77,61.205,61.4517,7337
09/11/2015,61.6,61.65,61.35,61.62,12058
09/14/2015,61.47,61.552,61.42,61.42,4499
09/15/2015,62.11,62.47,62.02,62.44,10556
09/16/2015,62.924,63.04,62.92,62.99,4532
09/17/2015,63.01,63.69,62.69,62.8999,30368
09/18/2015,61.64,62.1899,61.33,61.41,7998
09/21/2015,61.678,61.8,61.49,61.75,72058
09/22/2015,60.77,60.77,60.35,60.59,24388
09/23/2015,60.629,60.83,60.3,60.5,22972
09/24/2015,60,60.45,59.475,60.31,15627
09/25/2015,60.46,60.4999,59.67,59.97,384311
09/28/2015,59.55,59.55,58.41,58.44,11475
09/29/2015,58.56,58.7,58.346,58.472,9504
09/30/2015,59.52,59.96,59.23,59.96,215201
10/01/2015,60.09,60.09,59.2301,59.69,29579
10/02/2015,59.11,60.505,59.11,60.505,71035
10/05/2015,62.15,62.37,62.15,62.28,4990
10/06/2015,62.27,62.584,62.09,62.26,12803
10/07/2015,62.8,62.96,62.35,62.95,11074
10/08/2015,62.976,63.79,62.976,63.66,6633
10/09/2015,63.7,63.7,63.504,63.5566,15757
10/12/2015,63.55,63.6499,63.39,63.61,9420
10/13/2015,63.4,63.959,63.32,63.32,219426
10/14/2015,63.46,63.46,62.93,63.07,7050
10/15/2015,63.1285,63.78,62.97,63.78,9190
10/16/2015,64.16,64.16,63.63,63.8367,1651
10/19/2015,63.76,63.96,63.58,63.96,69798
10/20/2015,63.9374,64.01,63.8201,63.88,11178
10/21/2015,63.94,63.94,63.2939,63.2939,8892
10/22/2015,63.8985,64.17,63.8985,64.17,7353
10/23/2015,64.7,64.714,64.39,64.69,5709
10/26/2015,64.43,64.43,64.2,64.27,17095
10/27/2015,63.79,63.88,63.6934,63.88,2800
10/28/2015,64.15,64.9,63.95,64.9,11437
10/29/2015,64.67,64.74,64.43,64.5599,93166
10/30/2015,64.578,64.73,64.34,64.34,2834
11/02/2015,64.45,65.2424,64.45,65.17,3885
11/03/2015,65.02,65.4199,64.9,65.25,13367
11/04/2015,65.03,65.03,64.79,64.84,3580
11/05/2015,64.79,64.87,64.7294,64.8338,2290
11/06/2015,64.94,65.02,64.6,65.02,7301
11/09/2015,65,65,64.3,64.3,406
11/10/2015,64.36,64.51,64.356,64.49,1405
11/11/2015,64.255,64.3339,64.0537,64.0537,1215
11/12/2015,63.44,63.44,63.275,63.28,2892
11/13/2015,62.5175,62.698,62.31,62.3114,1606
11/16/2015,62.37,63.04,62.28,63.04,6637
11/17/2015,62.96,63.26,62.9313,62.95,8138
11/18/2015,63.2594,64,63.25,64,9100
11/19/2015,63.66,63.75,63.6,63.75,1616
11/20/2015,64.221,64.221,63.8501,63.8501,1901
11/23/2015,63.85,64.1199,63.77,63.8,2086
